"MILES","MPG","MPH","LOGMPH","RESID"
12457,14.8,18.6,2.92316158071916,-0.4214
12658,15.1,19.5,2.9704144655697,-0.4934
13439,17.5,24.2,3.18635263316264,0.2062
13518,14.3,17.9,2.88480071284671,-0.6193
13799,15.9,21.2,3.05400118167797,-0.3516
14097,17.9,32,3.46573590279973,-1.5937
15099,13.5,17,2.83321334405622,-1.0131
15902,12.2,12.1,2.4932054526027,0.3642
16298,13.7,16.6,2.8094026953625,-0.6256
20745,16.5,24.4,3.19458313229916,-0.8586
20921,16.2,23.5,3.15700042115011,-0.8627
22015,14.6,17.9,2.88480071284671,-0.3193
22203,15,19,2.94443897916644,-0.3889
22740,22.6,52.7,3.96461545554732,-0.822
23109,21.4,35.1,3.55820113047182,1.1782
25362,22.3,48.8,3.8877303128591,-0.5166
25578,13.8,16.6,2.8094026953625,-0.5256
28279,17.1,19.7,2.98061863574394,1.4262
30539,18,25.1,3.22286784613774,0.4187
31133,17.7,23.5,3.15700042115011,0.6373
32483,16.5,25.4,3.23474917402449,-1.1749
36457,13.8,15.8,2.76000994003292,-0.1367
37013,17.8,25.3,3.23080439573347,0.1562
37485,14.7,16.9,2.82731362192903,0.2334
38130,20,45,3.80666248977032,-2.1782
38635,15.6,18.3,2.90690105984738,0.5067
39756,21.5,37.5,3.62434093297637,0.7574
40249,15.6,19.8,2.98568193770049,-0.1137
40790,18,24.3,3.1904763503465,0.6737
41143,20.9,34.5,3.54095932403731,0.814
41702,17.6,23.6,3.16124671203156,0.5039
43249,23.7,48.9,3.88977739648083,0.8673
43931,14.6,17.4,2.85647020622048,-0.0962
44208,16.7,22.7,3.12236492448736,-0.0899
45602,23.4,40,3.68887945411394,2.1492
45837,24.6,51.2,3.93573953204546,1.4054
47985,20.2,32,3.46573590279973,0.7063
48717,16.2,18.2,2.90142159408275,1.1498
49627,20.7,35.8,3.57794789340665,0.3227
50691,15.2,20.1,3.00071981506503,-0.6321
50897,19.4,31.6,3.45315712059287,0.0053
51744,22.6,43.3,3.76815263500844,0.725
53008,17.6,21.8,3.08190996979504,1.1286
53546,20.9,39.5,3.67630067190708,-0.2517
54150,21.3,38.6,3.65325227647079,0.3297
54431,19.1,24.9,3.21486780347066,1.5817
56583,19.4,29.1,3.37073817417745,0.6543
56739,21.8,40.7,3.70622809244855,0.4126
56936,14.2,15.4,2.73436750941958,0.4652
57649,19.7,30.7,3.42426265459315,0.5329
59054,15,16.3,2.79116510781272,0.818
59638,19.3,29,3.36729582998647,0.5814
59873,17.9,27.5,3.31418600467253,-0.4004
60736,15.9,20.1,3.00071981506503,0.0679
61009,19.5,28.2,3.33932197794407,1.0017
64063,15,19,2.94443897916644,-0.3889
66254,18.6,45.8,3.82428409112014,-3.717
66912,14.6,19.9,2.99071973173045,-1.1533
67108,13.6,19,2.94443897916644,-1.7889
68829,20.7,43.7,3.77734810210154,-1.2474
